lettertype,title,submit_t,content,reply_p,reply_t,reply_c
建议,房产纠纷,2012/2/21,"我是厦门市翔安区马巷陈新村陈头的村名，前天早上我们村有个孤家老人去世了，我来陈诉一下。陈乞，男，是我们村的一位老人，他有两个妹妹，一个哥哥，一个妹妹嫁同村一个嫁隔壁村，父母都去世了，有套旧房子是他自己建的【这个旧房子的土地还有他的田地】就是他所留下的财产了。自己因没有生育能力，结了多次婚，都没成，都是新娘跑了。所以没儿没女，自己孤家寡人。最近因得了食道癌中晚期在前天半夜去世了。几时死的也没人知道。好像是他妹妹隔天早上才发现的。接下的就是财产纠纷了，哥哥和嫁同村的妹妹都说：要让自己儿子做死人的干儿子，做我们这里所谓的“孝男”,那财产就是这两个所谓的“干儿子”对半分了。但是还有个嫁隔壁村的妹妹也想来分财产，因为死人没有留下遗嘱，她说：“死者生前需要大笔医疗费做手术，有说过谁肯出钱让他去做手术，财产就归谁，生前也没人在说要做他干儿子什么的，都怕出钱，等死了再挂个名义就想分财产了，死人没有留下遗嘱，只要是有血缘关系的都是可以分的，没那么简单。”死者死后口袋还有四千元，火葬费是不用这些人替他出，这些人就是明着要死者留下房子的那块地还有田地了。作为旁观者的我是看不过去了，以我的观点是：死者居然没有留下遗嘱，那么财产应该由两个妹妹和哥哥做三分来分，而不是突然间冒出所谓的两个“干儿子”来分.还有一种处理方法就是，居然这位死者没有继承人，也没留下遗嘱，一直都是靠政府每月低保的补贴生活的，那么也可以由村支部出面收回这个旧房子改做村老人儿童健身地。",马巷镇,2012/3/13,1、陈乞的房子及土地社区无法收归集体，除非其法定继承人同意。因为陈乞虽是低保户并享受政府补助，但其和有财产还是属于其个人所有，这与农村五保户有本质区别。2、陈乞的遗产继承问题，只能由其法定继承人协商处理，解决不了的，可向司法部门提起法律诉讼，由司法部门判决。
咨询,为什么已写答复可就看不见信访局答复的内容,2012/2/21,我已进入自己问题信件，为什么已写答复可就看不见信访局答复的内容呢？,信访局,2012/2/28,您好，来件收悉。您所咨询的问题大帽山移民办工作人员已通过邮件回复。
咨询,为什么舫阳古安村的宅基地申请一直未被提送政府部门审批？,2012/2/5,为什么舫阳古安村的宅基地申请一直未被提送政府部门审批？一直押在村干部那迟迟不送报呢？不是说可以申请的吗？快一年了啊。。。急啊。。,马巷镇,2012/2/16,信访人反映个人建房问题，经查，镇政府并未受理舫阳社区的个人建房申请。通过舫阳社区了解到社区在研究个人建房报送时都是整批报送，由于申请户部分材料不全，因此才没办法报送。
咨询,请问一下社会保障人员工资要不要升//,2012/2/5,"现在各非在编人员都升工资了,这一块的人会升吗,才拿1000来块的工资.",人劳局,2012/2/13,小陈，您好！社区劳动保障工作者的工资福利待遇依据《厦门市劳动和社会保障局、厦门市财政局关于建立健全村改居社区及农村基层劳动保障服务体系的通知》（厦劳社[2008]333号）：实行定额包干办法，即按上年度我市在岗人员社会平均工资的60%核定，包括人员工资、各种补贴、津贴及各项社会保险费；防暑降温费每人每年750元。行政村专职劳动保障协管员的工资福利待遇依据《厦门市劳动和社会保障局、厦门市财政局关于在行政村招收专职劳动保障协管员的通知》（厦劳社〔2009〕53号）：协管员每人每月1000员补贴，扣除用人单位应缴纳的社会保险费低于当年度所在区最低工资标准的，所在区财政补足至当年度最低工资标准。协管员的防暑降温费每人每年750元。目前未了解到有新工资标准的政策文件出台。
其他,反映,2012/2/6,新店镇沙美社区，原来用于水利灌溉的三座大水库及大部分责任田被厦大翔安校区征用，只剩下小部分农田且失去水源，部分庄稼无收成，一些群众生活陷入困境。三座大水库及原村的科技农田的征地款近两千万元，已经汇入居委会很长时间，至今没有向居民们交代清楚。居民怨气漫天，希望有关部门组织调查巨额的征地款真实去向，为我社区居民办实事。谢谢您！,新店镇,2012/2/8,经与社区调查核实，由于社区与水库的承包者的理赔一直未处理好，导致征地款一直无法发放。目前，社区打算预留部分征地款，剩余的将于近期尽快发
建议,保护古树名木,2012/2/6,位于新店镇沙美社区：古树名木（大榕树），编号：XA190树龄：150该大榕树四周被村民围墙造路，几乎没有保护空间。建议相关部门能够划出有效的保护空间，让榕树能够自由生长，让村民能够与榕树和睦相处。比如：夏天里能够在树下乘凉、聊天、下象棋等相信这是许多人所期盼的。让这榕树能够继续幸福的守候着我们这些村民，而不是受尽拘束，一直蜷缩着，不能也不敢尽情地伸展，怕越界后会被斧头、电锯等所~~~~~~~,农林水利局,2012/2/21,信访人您好，在接到您所反映的问题后，我局立即派新店林业站工作人员到现场调查，并同沙美社区副主任副主任找到砌围墙的当事人协商。经宣传引导，当事人已同意拆除围墙14米，避免对古树正常生长造成影响。感谢您对政府工作的支持。
投诉,关于农村签网络问题,2012/2/6,您好，我来自内厝镇黄厝村东美自然村，我们过年时候回家想签网络，可是迟迟牵不了，电信一会说什么与其他村有过节无法协商好，一会又说我们那边不能牵，可是我们村之前就已经有人牵了，那不是意味着线路是可以进去的吗？由于这事比较急，又一直无法落实，所以请咱政府相关人员帮忙解决一下，万分感激,内厝镇,2012/4/13,2012年3月2日接件后即落实用户反映的该址是否具备装机条件，现该址已开通，联系用户，用户称其人在外地，要过段时间才回厦门，已同用户沟通好，待用户回厦门后有装机需要再联系，用户无异议。厦门电信内厝站
建议,建议,2012/2/7,新店镇沙美社区公交车没有通过，居民出行难。而村后的东烧尾和内塘边却公交车频繁出入，公交车内乘客寥寥无几，而莲河站因地处石井镇交界，经常莲河站刚起步就被石井镇的村民挤得客满。建议有关部门是否设法使东烧尾和内塘边的公交车绕进沙美社区，既缓解莲河站的压力；又解决沙美社区居民的出行难题。谢谢！,交通局,2012/3/12,您的建议很好，会组织相关工作人员进行现场勘查，统筹考虑
咨询,咨询农村二胎政策？,2012/2/8,听说我区政府机关的劳务派遣人员，只要是农村户口且第一胎是女儿的，现在可以再生第二胎了。不知道是否真有其事，有何文件依据？请电子邮件回复，邮箱为：ji#####80@163.com；谢谢！,卫计局,2012/2/9,"你好,来访收悉!咨询事项已通过电子邮件回复咨询人."
建议,关于建议恢复翔安莲河—厦门火车站的直达车经贸局的回复,2012/2/10,关于之前建议恢复翔安莲河--厦门火车站的直达车线路，经贸局的回复是：莲河无场站，新线路无法入驻，今年厦大校区旁的场站建成后，我们将延长751路。关于莲河无场站的这个问题，据我所知现在莲河车站的那一片旧候车室的地是属于公交公司的，那些候车室的房子已经很老旧了而且已有多数处于废弃中，何不向政府申请把那些旧房拆除然后重建一个候车亭？既可以腾出许多空间方便车辆停放，又规范美观。莲河，虽然是地处厦泉交界处，但也算是美丽厦门的一部分，不能因为地处边界就不予以重视啊！既然政府愿意花钱新建一个场站，为什么不愿意花钱去重修一个旧场站呢？而且，连接厦大思明、翔安两个校区的751路并无法很好的与761路衔接起来，不说南安石井水头一带，就说莲河、霞浯、珩厝、霄垄的居民若要去厦大翔安校区搭乘751路就得搭摩的或是搭乘761路到东园，再走一段不短的路到新的公车场站，这样一来还是比搭乘761到新店再转车750/780更为麻烦了。既然公交是为了方便市民的出行，就应该考虑到大多数居民，而不是只考虑到小部分居民啊。延长线路的751只是方便了东园、沙美和茂林，以及未来往返于两个厦大校区的师生，对于莲河、霞浯、珩厝以及南安的石井水头一带居民的出行并无实质上的改善啊！而且，莲河—火车站的直达车是有历史可寻的。,交通局,2012/3/12,公交公司对莲河车站只有使用权，无法进行重新建设。而现有的条件无法增加车辆入驻，751路正等待厦大翔安校区场站建设完成后就可以延长至该处发车。
其他,表***计生办员工彭源先生,2012/2/10,"马巷镇计生办员工彭源先生除了接电话时热情有礼、认真回答问题外，现场的服务态度也很好,办事效率快,对申办人员提出的问题很详细认真回答，对其有不懂之处也耐心指导。另外，对于不属于他本人的份内之事,他也会先与相关部门咨询后,再提供具体的地址/办事员姓名及其电话给申办人员。这样的员工很值得大家推荐和学习。",卫计局,2012/2/10,你好！感谢你对计生工作的支持和肯定，我们会继续努力，进一步提高服务水平。我局会在适当的时候对彭源同志进行表彰奖励。
咨询,投诉请领导花几分钟进来看看--谢谢,2012/2/11,仑头站往同安的，760，761司机不停车，有站为什么不停。往马巷的又为什么没站点，好几十年来，那边都有站，不是照常停下车吗，为什么要取消，不安全？你听过那里因为公交车停车，而发生什么意外吗?完全没有，要换位思考啊，你没在那里搭车，你根本就不明白，我们到湖厝，桐梓新村都很远啊。那有条辅道，公交车为什么就不能走那条，那是道路。岛内很多都是站点在辅道那得，仑头、沈井、竹仔脚、洪坑、洪溪村这么多的村落，却没有个站点，竟把站点设在湖厝，湖厝就一个小小的村落，有必要设站点吗？请领导自己想想，湖厝到桐梓新村，有多远？以一个那边停车不安全，就取消了仑头站，请领导们考虑下仑头人民的贡献吧、每天有上班人员要去搭车得走到湖厝去那么远、湖厝那么小有必要吗、我们仑头集几个大村子在啊、求求领导速战速决。还有我们仑头七队八队生产队长贪污还有好几个天天不用干活天天没为我们社区着想天天去唱歌抽好烟吃好穿好我想说花的是我们人民的钱不是他个人的钱请有关部门进来为我们主持公道之前几年我们仑头土地被低价买走垄断了我们区的未来子孙的未来何现在仅剩的几百万我恳请领导下乡查查现在仅剩多少我们建议村最好让有学历的有能力的人来坐谢谢请为我们做主,交通局,2012/3/8,仑头站（往同安方向）已设立简易招呼站点，公交公司已通知驾驶员在此停靠。往马巷方向因考虑安全问题暂不设站停靠。
建议,投诉公交车仑头站不停车,2012/2/11,为什么有站点不停车司机还很没素质脾气会骂人公交车不是为造福公共的造福百姓的吗请问这样的司机配当司机吗配为人民服务吗仑头站往同安的，760，761司机不停车，有站为什么不停。往马巷的又为什么没站点，好几十年来，那边都有站，不是照常停下车吗，为什么要取消，不安全？你听过那里因为公交车停车，而发生什么意外吗?完全没有，要换位思考啊，你没在那里搭车，你根本就不明白，我们到湖厝，桐梓新村都很远啊。那有条辅道，公交车为什么就不能走那条，那是道路。岛内很多都是站点在辅道那得，仑头、沈井、竹仔脚、洪坑、洪溪村这么多的村落，却没有个站点，竟把站点设在湖厝，湖厝就一个小小的村落，有必要设站点吗？请领导自己想想，湖厝到桐梓新村，有多远？以一个那边停车不安全，就取消了仑头站，请领导们考虑下仑头人民的贡献吧、每天有上班人员要去搭车得走到湖厝去那么远、湖厝那么小有必要吗、我们仑头集几个大村子在啊、求求领导速战速决。雨过之后、22:25:53仑头人们的确不容易啊！早先年钱以很廉价的价格被政府收购了全村人的土地，过了快10年了，那边一点建设动静都没有。仑头人民为了高速公路、铁路一直退让，难道政府就是这么报答仑头人民的吗？只有一直索取没有怜悯吗？仑头集小后者、沈井、竹仔脚、洪坑、洪溪村这么多的村落，却没有个站点，竟把站点设在湖厝，湖厝就一个小小的村落，有必要设站点吗？请领导自己想想，湖厝到桐梓新村，有多远？以一个那边停车不安全，就取消了仑头站，请领导们考虑下仑头人民的贡献吧！往里的还有个工业区还可以出租房子，仑头人呢？早先年赔偿的，现在物价变什么样了？最为悲哀的是，去年看到庙社张贴的，一张是各位好心人士的捐款，另外一张张贴的是，那些钱的用途，悲哀，买鲍鱼、龙虾、洋酒了，难道现在办事都必须潜规则了？吃喝玩乐谁不会，三岁小孩便会，这就是仑头村干部的办事？不为人民争取福利，就拿来吃喝，这种干部谁不会做、据说早年前，政府补贴的收购土地费用，也没有个详细的标准，仑头村干部们竟然还组织去北京游玩了、悲哀，可悲可泣。我们只想在往同安方向有个仑头的站点，可以是“仑头二战”。每天从仑头走到湖厝去搭车，那边也没有人行道，斑马线这不是政府逼我们不遵守交通吗？324国道车来车往，难道政府们就不考虑仑头人民的出行安全了？路上又一坨坨的，早上刚吃的早饭，看到那些东西，请想想如果是你们，有什么感受。,交通局,2012/3/8,仑头站（往同安方向）已设立简易招呼站点，公交公司已通知驾驶员在此停靠。往马巷方向因考虑安全问题暂不设站停靠。同时会加大对驾驶员文明服务的教育。
投诉,仑头站往同安的，760，761司机不停车,2012/2/11,仑头站往同安的，760，761司机不停车，有站为什么不停。往马巷的又为什么没站点，好几十年来，那边都有站，不是照常停下车吗，为什么要取消，不安全？你听过那里因为公交车停车，而发生什么意外吗?完全没有，要换位思考啊，你没在那里搭车，你根本就不明白，我们到湖厝，桐梓新村都很远啊。那有条辅道，公交车为什么就不能走那条，那是道路。岛内很多都是站点在辅道那得，仑头、沈井、竹仔脚、洪坑、洪溪村这么多的村落，却没有个站点，竟把站点设在湖厝，湖厝就一个小小的村落，有必要设站点吗？请领导自己想想，湖厝到桐梓新村，有多远？以一个那边停车不安全，就取消了仑头站，请领导们考虑下仑头人民的贡献吧、每天有上班人员要去搭车得走到湖厝去那么远、湖厝那么小有必要吗、我们仑头集几个大村子在啊、求求领导速战速决。,交通局,2012/3/8,仑头站（往同安方向）已设立简易招呼站，公交公司已通知驾驶员在此停靠。往马巷方向因考虑安全问题暂不设站停靠。
投诉,投诉,2012/2/11,新店镇沙美社区居委会利用职权，挪用、私用居民命脉（水利征地）巨款约两千万元，有一年半之久，其银行利息金几十万元。应追回并用于照顾我社区孤寡病残及困难户。希望有关部门给以严肃处理，以正我社区干净、和谐的风貌。,新店镇,2012/3/2,经包社区干部调查核实，沙美社区三个小二型水库征用款已用一部分款项支付修建八一路支付村民的征地款（这是村民代表大会通过的）。剩余部分，目前正在考虑以何种方式把部分款项发放给村民。此外，土地征用款是专项专用的，统一由镇会计站进行管理。
咨询,重残补助金,2012/1/31,"我只生一个孩子，并于2005年底办理独生子女证，儿子现年7岁,智力残疾一级，属于重度残疾。请问计生部，这种情况下，我们夫妻是否有补助金",卫计局,2012/1/31,"你好,来访收悉。咨询人这种情况可去所在镇街计生办咨询申请特别扶助。独生子女伤残申请特别扶助的应同时具备以下四个条件：1.1933年1月1日以后出生。2.女方年龄满49周岁。3.只生育一个子女或合法收养一个子女。4.独生子女被依法鉴定为残疾（伤病残达到三级以上）的对象，对独生子女伤残户，以夫妻双方每人每月260元的标准进行扶助，直至死亡或者子女康复。另外，根据《厦门市翔安区人民政府常务会议2006年第46次纪要》精神，对符合省、市特别扶助标准年龄已满30周岁不满49周岁的对象，由区财政安排专项资金，以夫妻双方每人每月50元的标准进行扶助，直至年满49岁转为享受省、市特别扶助标准。"
咨询,扫盲教材,2012/2/1,您好！我妹童年因家庭原因未能上学，现在已接近30岁，现在社会发展没点文化真的寸步难行，所以想在这里咨询并求助一下各位热心人，不知现在哪里有举办扫盲班或哪里可以索取扫盲教材光盘，谢谢！,教文体局,2012/2/17,区信访局：贵局转来的翔安区人民政府“网站信访”批转单存档编号：Q201200201-5893信访件收悉。现答复如下：我局已于2012年2月3日下午16:32拨打了信访人（林先生）的电话，并做了详细答复：1.建议林先生的妹妹就近报名参加马巷文化技术学校举办的扫盲班；2.扫盲教材或者光盘可向我局教育科索取，教育科电话：7082575。信访人对答复内容表示满意。二○一二年二月十七日
咨询,结婚,2012/2/1,结婚登记，老婆户口是外省的，迁到厦门当地，需要什么手续,公安分局,2012/2/20,你好，办理夫妻投靠所需材料：夫妻双方的户口薄、身份证、结婚证，持上述证件的原件及各证件复印件1份到翔安公安分局办证大厅申请准迁，咨询电话：7628887。
投诉,申请难，无家归，春节过得忒凄凉,2012/2/1,本人是新店镇欧厝村和美的，大前年申请个人住房批地（地是我老爸那代的，本来就批了说过期要从新批），但腿也跑了，香烟也请了。就是不见下文，我家现在还住在那种百年危房，吃住行都很苦难，睡觉都提心吊胆的。镇领导也下来看了，说表示理解，还忽悠说要赶紧批，他们自己进去怕得还跑出来，何况全家老小住里面呢？这次春节亲朋好友来家里，各个呆都不敢多呆一会儿，跑得比兔子还快，导致春节过得忒凄凉，问问各个领导我们的生死谁来管呢？,国土分局,2012/2/17,1、经调查，信访人其父陈清辉于2011年底提出宅基地申请，由于新店镇欧厝社区的村庄建设规划还未获得批准，新店镇政府已对欧厝社区的宅基地进行暂缓审批。2、新店国土所多次拨打信访人电话，信访人并未接听。
咨询,关于翔安区农村建设方面的问题,2012/2/2,目前，翔安区的总人口是多少，农村户口占多少？（如果有个乡镇的数据就最好了）农业耕地面积多少？有哪些惠农政策？国家补助落实情况如何？农业结构如何？农村经济发展状况如何？麻烦能够给点详细的信息，谢谢！,农林水利局,2012/2/8,翔安区农村建设基本情况一、人口构成：2010年末翔安区总户籍人口数29.4万人，其中新店9.38万人，马巷8.87万人，新圩4.31万人，内厝4.22万人，大嶝2.14万人，大帽山0.47万人。乡村户数（含社区）8.5万户，农业从业人员（含社区）5.7万人，占人口19%。二、耕地情况：2010年末我区耕地面积13.12万亩，其中水田4.08万亩，水浇地7.85万亩，旱地1.19万亩。三、惠农政策1、农作物良种补贴：每年，由区农林水利局根据区统计局及各镇（街、场）上报数据，下拨良种补贴资金。各镇（街、场）在限期内将补贴资金发放至农户手中，并将资金发放情况造册存档备查。2、农资综合直补：每年，由区统计局、区农林水利局核实由各镇（街、场）上报的粮食播种面积，由财政局下拨农资综合补贴资金，各镇（街、场）在限期内将补贴资金兑付到农户手中。3、水稻种植（制种）保险：根据省、市统一部署，区农林水利局配合中国人民财产保险股份有限公司厦门市翔安支公司开展了水稻种植（制种）保险工作。我区1.52万亩的水稻全部参加保险，每亩最高可获赔300元，为农民解决后顾之忧。四、农业发展状况：在加快新区建设过程中，千方百计稳定粮食生产，高度重视种植业结构调整，努力确保种植业产品质量安全，稳定农业生产局面。加强规划引导，扶大、扶强农业龙头企业，推行“企业+基地+农户”产业化经营模式，认真落实品种结构调整、栽培管理、病虫害综合防治及防灾减灾等措施，大力发展订单农业、加强品牌建设，形成了秋冬种春收为主的生产格局。我区农业生产主要以蔬菜种植为主，水稻等主要以轮作方式参加生产。大宗农产品主要是：胡萝卜、马铃薯、葱蒜类蔬菜、甘蓝类蔬菜、瓜类、茄果类、叶菜类、豆类、白菜类等其他蔬菜。农业生产稳定。
咨询,重残补助金---申请需提交哪些资料,2012/2/2,致：马巷镇计生办独生子女伤残申请特别扶助:根据《厦门市翔安区人民政府常务会议2006年第46次纪要》精神，对符合省、市特别扶助标准年龄已满30周岁不满49周岁的对象，由区财政安排专项资金，以夫妻双方每人每月50元的标准进行扶助。----申请上述每月每人50元补助金，需提供什么资料？有没有固定的受理（申办）时间?或者说只要在正常的工作时间内去申请就行？,卫计局,2012/2/2,你好，来访收悉。反映人可带上独生子女证及相关伤残证明材料到马巷镇计生办（7062100）咨询申请办理，申请时间为正常工作时间。
咨询,大帽山后炉埔集体户移民问题,2012/2/3,大帽山后炉埔外来集体户多为农场建场时即到农场无怨无悔奉献自己的青春和热血，今已到花甲之年，想有安身之处。然而因早年已将户口移入农场，现今老家已是上无一寸天，下无寸土，自2006年以来市、区政府高度重视地质灾害群众民生之疾苦，开始安置地质灾害之民众，此举深得民心。群众无不颂之，各媒体也争相报道，虽经俩次移民，大部分已移迁新居，而集体户问题历经两届政府，问题仍得不到解决，去年政府已决定集体户同寨仔尾、罗田村同移。近日咨询移民办，答曰：仍需研究。今再询贵处，诚盼给以重视，务望政府本着“以人为本，为民着想”和“沉下心、沉下身、沉下力、为人民服务”宗旨，认真研究。尽快解决人民群众所反映问题。1问：本次移民外来集体户移民是否列入政府议程，何时能移民。2问：本次移民是否已确定外来集体户同寨仔尾、罗田村同移。诚盼重视、回复。,信访局,2012/2/20,您好，来件收悉。经移民办核处，大帽山后炉埔外来集体户移民问题目前区委区政府正在研究中。
咨询,住房公积金咨询,2012/2/3,根据《福建省住房公积金行政执法暂行规定》企业要为员工办理住房公积金，我想咨询下：协警、社区劳动保障工作者、流动人口管理员，这些最接近群众的工作人员，会按照这个规定给予缴交吗？？？去年政府已经为非在编的缴交住房公积金，而以上三个岗位却没享受到，那今年《福建省住房公积金行政执法暂行规定》从2012年2月1日开始实施了。协警、社区劳动保障工作者、流动人口管理员，能享受到这个政策吗？？,人劳局,2012/2/10,小李，您好！由于您所留联系方式无法正常联系到您，故无法于您直接答复，现将相关答复告知如下：社区劳动保障工作者的工资福利待遇依据《厦门市劳动和社会保障局、厦门市财政局关于建立健全村改居社区及农村基层劳动保障服务体系的通知》（厦劳社[2008]333号）：实行定额包干办法，即按上年度我市在岗人员社会平均工资的60%核定，包括人员工资、各种补贴、津贴及各项社会保险费；防暑降温费每人每年750元。协警、流动人口管理员的工资福利待遇是依据《厦门市财政局、中共厦门市委政法委关于下达治安协警队员和流动人口协管员经费基数的通知》（厦财行指[2010]7号）：治安协警队员年工资从2万元提高至2.6万元，按照原定市区财政各承担50％的原则，市财政对治安协警队员（不包括各区自行招聘部分）经费每人1万元提高至每人每年1.3万元。流动人口协管员年工资由1.8万元提高至2.1万元，按照原定市区镇财政各承担三分之一的原则，市财政对流动人口协管经费补助由每人0.6万元提高至每人每年0.7万元。上述经费包括基本工资、绩效工资、社保缴费、服装费和人员管理费用等。目前这三类人员的工资福利待遇相关文件均未提到为其缴交公积金这一政策。
咨询,大帽山后炉埔外来集体户移民问题,2012/2/3,大帽山后炉埔外来集体户多为农场建场时即到农场无怨无悔奉献自己的青春和热血，今已到花甲之年，想有安身之处。然而因早年已将户口移入农场，现今老家已是上无一寸天，下无寸土，自2006年以来市、区政府高度重视地质灾害群众民生之疾苦，开始安置地质灾害之民众，此举深得民心。群众无不颂之，各媒体也争相报道，虽经俩次移民，大部分已移迁新居，而集体户问题历经两届政府，问题仍得不到解决，去年政府已决定集体户同寨仔尾、罗田村同移。近日咨询移民办，答曰：仍需研究。今再询贵处，诚盼给以重视，务望政府本着“以人为本，为民着想”和“沉下心、沉下身、沉下力、为人民服务”宗旨，认真研究。尽快解决人民群众所反映问题。1问：本次移民外来集体户移民是否列入政府议程，何时能移民。2问：本次移民是否已确定外来集体户同寨仔尾、罗田村同移。诚盼重视、回复。,,2012/2/21,您好，来件收悉。经移民办核处，大帽山后炉埔外来集体户移民问题目前区委区政府正在研究中。
投诉,关于失地失海补贴事宜,2012/2/3,新店镇莲河村近期关于海地征用补贴情况，莲河村村委要求户口在莲河村但已经出嫁的人员须提供夫家耕地情况，耕地分布早在几十年前就已分配而现今有那个村庄因嫁娶而重新分配土的的，何况靠内地的根本没有海。更重要的是附近村庄也同样在分配用地补贴事宜，但并没有出现像莲河村要求人员出具证明方可领取呀！日期截止2012年2月17日。,新店镇,2012/2/8,经包社区干部调查核实，出嫁女提供嫁入方的相关证明是社区居委会结合上几次分配的方案而提出来的。
咨询,关于新店镇的有关信息,2012/2/3,想要了解最新新店镇的情况，如总户口数，农村户口数，行政区划，全镇经济总产值等，涉及的政治、经济、文化、教育、卫生、医疗方面的最新统计信息，网上很多信息都已经很旧了，是2004年的情况，希望能提供给我最新的情况。我做社会实践需要了解到这些信息，望尽快提供！,新店镇,2012/2/12,由于涉及的内容比较多，我镇已通过挂号信将内容邮寄给反映人。
建议,翔安为什么没有引进4S店,2012/2/3,现在汽车销售行业在厦门除了翔安每个区都有4S店，为什么翔安区没有引进呢？要带动翔安发展应该齐头并进，开发更多产业，吸引更多人气。,经贸局,2012/2/10,翔安区一直积极推动汽车交易市场建设，目前已有保时捷4S店等入住；在市里拟将汽车交易市场规划调整到其他区情况下，积极协调，争取保留汽车市场，近期拟推出一出一批“4S”店用地挂牌，争取引进一批4S店尽快入驻汽车交易市场，今后将围绕赛道再建设数十家汽车“4S”店，形成汽车展示、销售、汽车运动等汽车文化综合项目。完善产业配套，吸引更多人气，带动翔安区全面发展。
咨询,结婚登记咨询,2012/2/4,本人户口是翔安新店的，男朋友户口是龙岩上杭的，近期要在翔安这边办理结婚登记，想咨询下需要带哪些材料？？是只需要带1.身份证，户口本，和3张照片就可以了吗？？,民政局,2012/2/9,区信访局：根据贵局2012年2月6日转来的(编号Q20120204-5904号)关于当事人彭小真（女）来函咨询：其男朋友户口是龙岩上杭的，近期要在我们（翔安）这边办理结婚登记，想咨询需要准备哪些材料？现就此答复如下：当事人如果要办理结婚登记：根据《婚姻登记条例》第4条规定：内地居民结婚，男女双方应当共同到一方当事人常住户口所在地的婚姻登记机关办理结婚登记。办理结婚登记需要准备下列证件和材料：1、双方的居民身份证原件（或临时身份证原件）。2、双方的常住户口簿原件（或户籍管理部门出具的加盖印章的户籍证明。当事人属于集体户口的，可提供加盖单位印章的集体户口簿首页复印件以及集体户口簿内本人的户口卡片或加盖单位印章的记载本人户籍情况的户口簿复印件）。附：需将各自的户口簿、身份证复印在同一张A4纸上。3、提交3张大2寸双方近期半身免冠合影结婚证件照（背景为：蓝色或红色）。4、军人办理结婚登记应当提供本人的居民身份证、军人身份证件和所在部队出具的婚姻状况证明。居民身份证、军人身份证件和婚姻状况证明上的同一信息内容应当一致。5、离过婚的须持有效的离婚证件。持有我国人民法院第一审离婚判决书的，须同时提供法院出具的离婚判决书发生法律效力的证明。如果其前次婚姻关系是国外按当地法律通过司法程序解除的，其离婚证件（指法院出具的民事调解书和民事判决书）须经人民法院裁定承认。办理结婚登记时间：每周周一至周五咨询电话：7889517二〇一二年二月八日
咨询,保障性廉租房申请咨询,2012/2/4,您好！我是翔安区内厝镇许厝村人氏，本人想咨询能否申请廉租房。本人现在情况为：2011年底结婚，家里还有父亲母亲及一个弟弟。家里石头房子，一层，产权属于父亲，我跟我老婆已经拆户，单独一个户口本，居住面积为0。现在年收入低于2万。请问是否能够申请厦门是岛内或岛外廉租房？如果可以该如何申请！谢谢！！！,内厝镇,2012/2/14,接市、区住房办通知，自2011年11月15日起暂停农村家庭户办理社会保障性租赁房的申请，恢复申请时间会另行通知。但符合条件的中低收入家庭可以申请经济适用住房或限价商品房。
咨询,关于健康告知书,2012/1/15,你好！我们于最近接到11月份接受翔安区计生办的优生检查告知书，其内容建议我们定期接受健康教育等且只告知我们有什么问题，检查的数据未提供我们到医院咨询又无任何检查资料及数据，为什么我们接受检查后计生办只给出一张告知书而不把个人所有的检查资料归还给个人呢？至少有问题我们可以讲此资料提供给医生以便下一步治疗呢？至少要向厦门妇幼一样啊，翔安计生办留个人检查资料有何用途呢？,卫计局,2012/1/20,你好，来访收悉。收到来访，我局立即向服务站进行了解，其回复：检查结果都有写在告知书上，类似于体检报告分1、2、3、4....写在上面，有需要复查的也会写在上面。检查对象若问题比较大的，服务站都会直接告知对象具体情况。反映人若确实看不懂告知书内容，可联系服务站，电话7079510，或联系所在镇（街）计生服务所。对你造成不便，敬请谅解。
咨询,优生健康检查,2012/1/15,于11月份至翔安妇幼做优生检查，12月7日出检验报告结果于1月份才发放到村庄但只有给出一份告知书，未给检查情况，到医院治疗时要提供资料数据都没有医生告诉我们还得重新检查，我不知道这样检查有何用途，只知道有问题又不告知从何下手治疗还得进医院重新检查那还不如直接上医院检查治疗又不浪费时间和精力！,卫计局,2012/1/20,你好，来访收悉。收到来访，我局立即向服务站进行了解，其回复：检查结果都有写在告知书上，类似于体检报告分1、2、3、4....写在上面。反映人若确实看不懂告知书内容，可联系服务站，电话7079510，或联系所在镇（街）计生服务所。
咨询,个人建房申请何时下来？,2012/1/15,个人建房申请何时下来？,内厝镇,2012/1/30,2012年元月30日，内厝国土所接到翔安区人民政府“网站信访”批转单关于内厝镇美山村坝上许自然村许利反映个人建房申请何时下来的问题，立即展开调查：经查，美山村2011年第一批没有研究上报许利的申请材料，村委会表示下个批次上报该户的申请材料。上述情况我所工作人员已经于2012年元月30日11点电话告知信访人，其本人表示理解。
建议,翔安美地雅登周边的农贸市场何时开建设,2012/1/16,翔安美地雅登做为翔安区的第一大盘，目前已经交房的有一期.二期楼盘，共计有超过3200户的业主，还有现在办理交房的部分三期楼盘，但是就是这样一个超级大盘，周边配套的农贸市场和幼儿园确迟迟不见动工，给生活在这里的业主和周围村民带来很大的不便和不解，不知道我们的区政府何时能够想人民所想，急人民之所急，确实解决好这个关乎广大群众的民生问题？,信访局,2012/2/15,你好，来件收悉。经我局核实，全市现已不再审批新的农贸市场，全市各个生活小区都有规划生鲜超市，信访人可向开发商咨询引进生鲜超市事项。
